Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Azithromycin,"IV, PO",500 mg daily (first day) then 250 mg q24h ×4 days,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O182), """", $O182*1.0)","=IF(ISBLANK($O182), """", $O182*1.5)","=IF(ISBLANK($O182), """", $O182*2.0)","=IF(ISBLANK($O182), """", 4*MIN(10,$O182) + 2*MAX(0,MIN(10,$O182-10)) + 1*MAX(0,$O182-20))","=IF(ISBLANK($O182), """", $O182*30)"
Doxycycline,"IV, PO",100 mg q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O183), """", $O183*1.0)","=IF(ISBLANK($O183), """", $O183*1.5)","=IF(ISBLANK($O183), """", $O183*2.0)","=IF(ISBLANK($O183), """", 4*MIN(10,$O183) + 2*MAX(0,MIN(10,$O183-10)) + 1*MAX(0,$O183-20))","=IF(ISBLANK($O183), """", $O183*30)"
Minocycline,"IV, PO",100 mg q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O184), """", $O184*1.0)","=IF(ISBLANK($O184), """", $O184*1.5)","=IF(ISBLANK($O184), """", $O184*2.0)","=IF(ISBLANK($O184), """", 4*MIN(10,$O184) + 2*MAX(0,MIN(10,$O184-10)) + 1*MAX(0,$O184-20))","=IF(ISBLANK($O184), """", $O184*30)"
Tigecycline,IV,100 mg load then 50 mg q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O185), """", $O185*1.0)","=IF(ISBLANK($O185), """", $O185*1.5)","=IF(ISBLANK($O185), """", $O185*2.0)","=IF(ISBLANK($O185), """", 4*MIN(10,$O185) + 2*MAX(0,MIN(10,$O185-10)) + 1*MAX(0,$O185-20))","=IF(ISBLANK($O185), """", $O185*30)"
Ceftaroline,IV,600 mg IV q12h (q8h in severe MRSA),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O186), """", $O186*1.0)","=IF(ISBLANK($O186), """", $O186*1.5)","=IF(ISBLANK($O186), """", $O186*2.0)","=IF(ISBLANK($O186), """", 4*MIN(10,$O186) + 2*MAX(0,MIN(10,$O186-10)) + 1*MAX(0,$O186-20))","=IF(ISBLANK($O186), """", $O186*30)"
Cefotetan,IV,1–2 g IV q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O187), """", $O187*1.0)","=IF(ISBLANK($O187), """", $O187*1.5)","=IF(ISBLANK($O187), """", $O187*2.0)","=IF(ISBLANK($O187), """", 4*MIN(10,$O187) + 2*MAX(0,MIN(10,$O187-10)) + 1*MAX(0,$O187-20))","=IF(ISBLANK($O187), """", $O187*30)"
Ceftazidime-avibactam,IV,2.5 g IV q8h (CrCl adjust),q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O188), """", $O188*1.0)","=IF(ISBLANK($O188), """", $O188*1.5)","=IF(ISBLANK($O188), """", $O188*2.0)","=IF(ISBLANK($O188), """", 4*MIN(10,$O188) + 2*MAX(0,MIN(10,$O188-10)) + 1*MAX(0,$O188-20))","=IF(ISBLANK($O188), """", $O188*30)"
Ceftolozane-tazobactam,IV,1.5–3 g IV q8h (CrCl adjust),q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O189), """", $O189*1.0)","=IF(ISBLANK($O189), """", $O189*1.5)","=IF(ISBLANK($O189), """", $O189*2.0)","=IF(ISBLANK($O189), """", 4*MIN(10,$O189) + 2*MAX(0,MIN(10,$O189-10)) + 1*MAX(0,$O189-20))","=IF(ISBLANK($O189), """", $O189*30)"
Meropenem-vaborbactam,IV,4 g IV q8h (3-h infusion; CrCl adjust),q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O190), """", $O190*1.0)","=IF(ISBLANK($O190), """", $O190*1.5)","=IF(ISBLANK($O190), """", $O190*2.0)","=IF(ISBLANK($O190), """", 4*MIN(10,$O190) + 2*MAX(0,MIN(10,$O190-10)) + 1*MAX(0,$O190-20))","=IF(ISBLANK($O190), """", $O190*30)"
Imipenem-cilastatin-relebactam,IV,1.25 g IV q6h (CrCl adjust),q6h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O191), """", $O191*1.0)","=IF(ISBLANK($O191), """", $O191*1.5)","=IF(ISBLANK($O191), """", $O191*2.0)","=IF(ISBLANK($O191), """", 4*MIN(10,$O191) + 2*MAX(0,MIN(10,$O191-10)) + 1*MAX(0,$O191-20))","=IF(ISBLANK($O191), """", $O191*30)"
Telavancin,IV,10 mg/kg IV q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O192), """", $O192*1.0)","=IF(ISBLANK($O192), """", $O192*1.5)","=IF(ISBLANK($O192), """", $O192*2.0)","=IF(ISBLANK($O192), """", 4*MIN(10,$O192) + 2*MAX(0,MIN(10,$O192-10)) + 1*MAX(0,$O192-20))","=IF(ISBLANK($O192), """", $O192*30)"
Dalbavancin,IV,"1,500 mg once (or 1,000 mg then 500 mg 1 week later)",Once/weekly,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O193), """", $O193*1.0)","=IF(ISBLANK($O193), """", $O193*1.5)","=IF(ISBLANK($O193), """", $O193*2.0)","=IF(ISBLANK($O193), """", 4*MIN(10,$O193) + 2*MAX(0,MIN(10,$O193-10)) + 1*MAX(0,$O193-20))","=IF(ISBLANK($O193), """", $O193*30)"
Oritavancin,IV,"1,200 mg IV once",Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O194), """", $O194*1.0)","=IF(ISBLANK($O194), """", $O194*1.5)","=IF(ISBLANK($O194), """", $O194*2.0)","=IF(ISBLANK($O194), """", 4*MIN(10,$O194) + 2*MAX(0,MIN(10,$O194-10)) + 1*MAX(0,$O194-20))","=IF(ISBLANK($O194), """", $O194*30)"
Daptomycin (high dose),IV,8–10 mg/kg q24h (endocarditis),q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O195), """", $O195*1.0)","=IF(ISBLANK($O195), """", $O195*1.5)","=IF(ISBLANK($O195), """", $O195*2.0)","=IF(ISBLANK($O195), """", 4*MIN(10,$O195) + 2*MAX(0,MIN(10,$O195-10)) + 1*MAX(0,$O195-20))","=IF(ISBLANK($O195), """", $O195*30)"
Nitrofurantoin,PO,100 mg PO q12h (avoid CrCl<30),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O196), """", $O196*1.0)","=IF(ISBLANK($O196), """", $O196*1.5)","=IF(ISBLANK($O196), """", $O196*2.0)","=IF(ISBLANK($O196), """", 4*MIN(10,$O196) + 2*MAX(0,MIN(10,$O196-10)) + 1*MAX(0,$O196-20))","=IF(ISBLANK($O196), """", $O196*30)"
Fosfomycin (PO),PO,3 g PO single dose (uncomplicated cystitis),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O197), """", $O197*1.0)","=IF(ISBLANK($O197), """", $O197*1.5)","=IF(ISBLANK($O197), """", $O197*2.0)","=IF(ISBLANK($O197), """", 4*MIN(10,$O197) + 2*MAX(0,MIN(10,$O197-10)) + 1*MAX(0,$O197-20))","=IF(ISBLANK($O197), """", $O197*30)"
Ganciclovir,IV,5 mg/kg IV q12h (induction),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O198), """", $O198*1.0)","=IF(ISBLANK($O198), """", $O198*1.5)","=IF(ISBLANK($O198), """", $O198*2.0)","=IF(ISBLANK($O198), """", 4*MIN(10,$O198) + 2*MAX(0,MIN(10,$O198-10)) + 1*MAX(0,$O198-20))","=IF(ISBLANK($O198), """", $O198*30)"
Valganciclovir,PO,900 mg PO q12h (induction),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O199), """", $O199*1.0)","=IF(ISBLANK($O199), """", $O199*1.5)","=IF(ISBLANK($O199), """", $O199*2.0)","=IF(ISBLANK($O199), """", 4*MIN(10,$O199) + 2*MAX(0,MIN(10,$O199-10)) + 1*MAX(0,$O199-20))","=IF(ISBLANK($O199), """", $O199*30)"
Foscarnet,IV,40 mg/kg IV q8–12h (induction; monitor lytes),q8–12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O200), """", $O200*1.0)","=IF(ISBLANK($O200), """", $O200*1.5)","=IF(ISBLANK($O200), """", $O200*2.0)","=IF(ISBLANK($O200), """", 4*MIN(10,$O200) + 2*MAX(0,MIN(10,$O200-10)) + 1*MAX(0,$O200-20))","=IF(ISBLANK($O200), """", $O200*30)"
Peramivir,IV,600 mg IV once (influenza),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O201), """", $O201*1.0)","=IF(ISBLANK($O201), """", $O201*1.5)","=IF(ISBLANK($O201), """", $O201*2.0)","=IF(ISBLANK($O201), """", 4*MIN(10,$O201) + 2*MAX(0,MIN(10,$O201-10)) + 1*MAX(0,$O201-20))","=IF(ISBLANK($O201), """", $O201*30)"
Remdesivir,IV,200 mg load then 100 mg IV q24h ×4,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O202), """", $O202*1.0)","=IF(ISBLANK($O202), """", $O202*1.5)","=IF(ISBLANK($O202), """", $O202*2.0)","=IF(ISBLANK($O202), """", 4*MIN(10,$O202) + 2*MAX(0,MIN(10,$O202-10)) + 1*MAX(0,$O202-20))","=IF(ISBLANK($O202), """", $O202*30)"
Caspofungin,IV,70 mg load then 50 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O203), """", $O203*1.0)","=IF(ISBLANK($O203), """", $O203*1.5)","=IF(ISBLANK($O203), """", $O203*2.0)","=IF(ISBLANK($O203), """", 4*MIN(10,$O203) + 2*MAX(0,MIN(10,$O203-10)) + 1*MAX(0,$O203-20))","=IF(ISBLANK($O203), """", $O203*30)"
Anidulafungin,IV,200 mg load then 100 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O204), """", $O204*1.0)","=IF(ISBLANK($O204), """", $O204*1.5)","=IF(ISBLANK($O204), """", $O204*2.0)","=IF(ISBLANK($O204), """", 4*MIN(10,$O204) + 2*MAX(0,MIN(10,$O204-10)) + 1*MAX(0,$O204-20))","=IF(ISBLANK($O204), """", $O204*30)"
Posaconazole,"IV, PO",300 mg BID day 1 then 300 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O205), """", $O205*1.0)","=IF(ISBLANK($O205), """", $O205*1.5)","=IF(ISBLANK($O205), """", $O205*2.0)","=IF(ISBLANK($O205), """", 4*MIN(10,$O205) + 2*MAX(0,MIN(10,$O205-10)) + 1*MAX(0,$O205-20))","=IF(ISBLANK($O205), """", $O205*30)"
Isavuconazonium,"IV, PO",372 mg q8h ×6 doses then 372 mg q24h,q8–24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O206), """", $O206*1.0)","=IF(ISBLANK($O206), """", $O206*1.5)","=IF(ISBLANK($O206), """", $O206*2.0)","=IF(ISBLANK($O206), """", 4*MIN(10,$O206) + 2*MAX(0,MIN(10,$O206-10)) + 1*MAX(0,$O206-20))","=IF(ISBLANK($O206), """", $O206*30)"
Esmolol infusion,IV,50–200 mcg/kg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O207), """", $O207*1.0)","=IF(ISBLANK($O207), """", $O207*1.5)","=IF(ISBLANK($O207), """", $O207*2.0)","=IF(ISBLANK($O207), """", 4*MIN(10,$O207) + 2*MAX(0,MIN(10,$O207-10)) + 1*MAX(0,$O207-20))","=IF(ISBLANK($O207), """", $O207*30)"
Clevidipine,IV,1–21 mg/h titrated,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O208), """", $O208*1.0)","=IF(ISBLANK($O208), """", $O208*1.5)","=IF(ISBLANK($O208), """", $O208*2.0)","=IF(ISBLANK($O208), """", 4*MIN(10,$O208) + 2*MAX(0,MIN(10,$O208-10)) + 1*MAX(0,$O208-20))","=IF(ISBLANK($O208), """", $O208*30)"
Nitroprusside,IV,0.3–10 mcg/kg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O209), """", $O209*1.0)","=IF(ISBLANK($O209), """", $O209*1.5)","=IF(ISBLANK($O209), """", $O209*2.0)","=IF(ISBLANK($O209), """", 4*MIN(10,$O209) + 2*MAX(0,MIN(10,$O209-10)) + 1*MAX(0,$O209-20))","=IF(ISBLANK($O209), """", $O209*30)"
Dobutamine,IV,2–20 mcg/kg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O210), """", $O210*1.0)","=IF(ISBLANK($O210), """", $O210*1.5)","=IF(ISBLANK($O210), """", $O210*2.0)","=IF(ISBLANK($O210), """", 4*MIN(10,$O210) + 2*MAX(0,MIN(10,$O210-10)) + 1*MAX(0,$O210-20))","=IF(ISBLANK($O210), """", $O210*30)"
Dopamine,IV,2–20 mcg/kg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O211), """", $O211*1.0)","=IF(ISBLANK($O211), """", $O211*1.5)","=IF(ISBLANK($O211), """", $O211*2.0)","=IF(ISBLANK($O211), """", 4*MIN(10,$O211) + 2*MAX(0,MIN(10,$O211-10)) + 1*MAX(0,$O211-20))","=IF(ISBLANK($O211), """", $O211*30)"
Milrinone,IV,0.125–0.75 mcg/kg/min (load optional),Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O212), """", $O212*1.0)","=IF(ISBLANK($O212), """", $O212*1.5)","=IF(ISBLANK($O212), """", $O212*2.0)","=IF(ISBLANK($O212), """", 4*MIN(10,$O212) + 2*MAX(0,MIN(10,$O212-10)) + 1*MAX(0,$O212-20))","=IF(ISBLANK($O212), """", $O212*30)"
Digoxin,"IV, PO","Load 8–12 mcg/kg (IV), maintenance 0.125–0.25 mg q24h",q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O213), """", $O213*1.0)","=IF(ISBLANK($O213), """", $O213*1.5)","=IF(ISBLANK($O213), """", $O213*2.0)","=IF(ISBLANK($O213), """", 4*MIN(10,$O213) + 2*MAX(0,MIN(10,$O213-10)) + 1*MAX(0,$O213-20))","=IF(ISBLANK($O213), """", $O213*30)"
Lisinopril,PO,5–40 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O214), """", $O214*1.0)","=IF(ISBLANK($O214), """", $O214*1.5)","=IF(ISBLANK($O214), """", $O214*2.0)","=IF(ISBLANK($O214), """", 4*MIN(10,$O214) + 2*MAX(0,MIN(10,$O214-10)) + 1*MAX(0,$O214-20))","=IF(ISBLANK($O214), """", $O214*30)"
Enalapril,PO,5–20 mg q12–24h,q12–24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O215), """", $O215*1.0)","=IF(ISBLANK($O215), """", $O215*1.5)","=IF(ISBLANK($O215), """", $O215*2.0)","=IF(ISBLANK($O215), """", 4*MIN(10,$O215) + 2*MAX(0,MIN(10,$O215-10)) + 1*MAX(0,$O215-20))","=IF(ISBLANK($O215), """", $O215*30)"
Captopril,PO,12.5–50 mg q8h,q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O216), """", $O216*1.0)","=IF(ISBLANK($O216), """", $O216*1.5)","=IF(ISBLANK($O216), """", $O216*2.0)","=IF(ISBLANK($O216), """", 4*MIN(10,$O216) + 2*MAX(0,MIN(10,$O216-10)) + 1*MAX(0,$O216-20))","=IF(ISBLANK($O216), """", $O216*30)"
Losartan,PO,25–100 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O217), """", $O217*1.0)","=IF(ISBLANK($O217), """", $O217*1.5)","=IF(ISBLANK($O217), """", $O217*2.0)","=IF(ISBLANK($O217), """", 4*MIN(10,$O217) + 2*MAX(0,MIN(10,$O217-10)) + 1*MAX(0,$O217-20))","=IF(ISBLANK($O217), """", $O217*30)"
Valsartan,PO,80–320 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O218), """", $O218*1.0)","=IF(ISBLANK($O218), """", $O218*1.5)","=IF(ISBLANK($O218), """", $O218*2.0)","=IF(ISBLANK($O218), """", 4*MIN(10,$O218) + 2*MAX(0,MIN(10,$O218-10)) + 1*MAX(0,$O218-20))","=IF(ISBLANK($O218), """", $O218*30)"
Amlodipine,PO,2.5–10 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O219), """", $O219*1.0)","=IF(ISBLANK($O219), """", $O219*1.5)","=IF(ISBLANK($O219), """", $O219*2.0)","=IF(ISBLANK($O219), """", 4*MIN(10,$O219) + 2*MAX(0,MIN(10,$O219-10)) + 1*MAX(0,$O219-20))","=IF(ISBLANK($O219), """", $O219*30)"
Nifedipine ER,PO,30–90 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O220), """", $O220*1.0)","=IF(ISBLANK($O220), """", $O220*1.5)","=IF(ISBLANK($O220), """", $O220*2.0)","=IF(ISBLANK($O220), """", 4*MIN(10,$O220) + 2*MAX(0,MIN(10,$O220-10)) + 1*MAX(0,$O220-20))","=IF(ISBLANK($O220), """", $O220*30)"
Isosorbide mononitrate ER,PO,30–120 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O221), """", $O221*1.0)","=IF(ISBLANK($O221), """", $O221*1.5)","=IF(ISBLANK($O221), """", $O221*2.0)","=IF(ISBLANK($O221), """", 4*MIN(10,$O221) + 2*MAX(0,MIN(10,$O221-10)) + 1*MAX(0,$O221-20))","=IF(ISBLANK($O221), """", $O221*30)"
Isosorbide dinitrate,PO,10–40 mg q8–12h,q8–12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O222), """", $O222*1.0)","=IF(ISBLANK($O222), """", $O222*1.5)","=IF(ISBLANK($O222), """", $O222*2.0)","=IF(ISBLANK($O222), """", 4*MIN(10,$O222) + 2*MAX(0,MIN(10,$O222-10)) + 1*MAX(0,$O222-20))","=IF(ISBLANK($O222), """", $O222*30)"
Labetalol (PO),PO,100–400 mg q12h,q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O223), """", $O223*1.0)","=IF(ISBLANK($O223), """", $O223*1.5)","=IF(ISBLANK($O223), """", $O223*2.0)","=IF(ISBLANK($O223), """", 4*MIN(10,$O223) + 2*MAX(0,MIN(10,$O223-10)) + 1*MAX(0,$O223-20))","=IF(ISBLANK($O223), """", $O223*30)"
Hydralazine (PO),PO,25–100 mg q8h,q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O224), """", $O224*1.0)","=IF(ISBLANK($O224), """", $O224*1.5)","=IF(ISBLANK($O224), """", $O224*2.0)","=IF(ISBLANK($O224), """", 4*MIN(10,$O224) + 2*MAX(0,MIN(10,$O224-10)) + 1*MAX(0,$O224-20))","=IF(ISBLANK($O224), """", $O224*30)"
Eptifibatide,IV,180 mcg/kg bolus then 2 mcg/kg/min,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O225), """", $O225*1.0)","=IF(ISBLANK($O225), """", $O225*1.5)","=IF(ISBLANK($O225), """", $O225*2.0)","=IF(ISBLANK($O225), """", 4*MIN(10,$O225) + 2*MAX(0,MIN(10,$O225-10)) + 1*MAX(0,$O225-20))","=IF(ISBLANK($O225), """", $O225*30)"
Tirofiban,IV,25 mcg/kg bolus then 0.15 mcg/kg/min,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O226), """", $O226*1.0)","=IF(ISBLANK($O226), """", $O226*1.5)","=IF(ISBLANK($O226), """", $O226*2.0)","=IF(ISBLANK($O226), """", 4*MIN(10,$O226) + 2*MAX(0,MIN(10,$O226-10)) + 1*MAX(0,$O226-20))","=IF(ISBLANK($O226), """", $O226*30)"
Bivalirudin,IV,0.75 mg/kg bolus then 1.75 mg/kg/h,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O227), """", $O227*1.0)","=IF(ISBLANK($O227), """", $O227*1.5)","=IF(ISBLANK($O227), """", $O227*2.0)","=IF(ISBLANK($O227), """", 4*MIN(10,$O227) + 2*MAX(0,MIN(10,$O227-10)) + 1*MAX(0,$O227-20))","=IF(ISBLANK($O227), """", $O227*30)"
Argatroban,IV,0.5–2 mcg/kg/min (hepatic adjust),Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O228), """", $O228*1.0)","=IF(ISBLANK($O228), """", $O228*1.5)","=IF(ISBLANK($O228), """", $O228*2.0)","=IF(ISBLANK($O228), """", 4*MIN(10,$O228) + 2*MAX(0,MIN(10,$O228-10)) + 1*MAX(0,$O228-20))","=IF(ISBLANK($O228), """", $O228*30)"
